particle_id,particle_type,vx,vy,vz,px,py,pz,q,nhits
1,-13,-2.94755,2.26269,164.216,-67553.5,-66922.2,-138670,1,13
2,-211,0.00598836,-0.0100263,-12.523,641.933,7262.88,-5112.32,-1,14
3,-211,0.00598836,-0.0100263,-12.523,-1010.74,1329.58,-12147.8,-1,15
4,211,0.00598836,-0.0100263,-12.523,-729.948,934.522,2124.68,1,14
6,-321,0.00598836,-0.0100263,-12.523,86.6833,-1224,-3277.49,-1,20
7,211,0.00598836,-0.0100263,-12.523,-737.186,745.819,-20818.8,1,16
8,321,0.00598836,-0.0100263,-12.523,2440.4,-2676.97,-3612.18,1,15
9,211,0.00598836,-0.0100263,-12.523,843.937,-1246.89,5011.98,1,24
10,-211,0.00598836,-0.0100263,-12.523,624.387,-866.564,2786.71,-1,20
11,2212,0.00598836,-0.0100263,-12.523,-1179.65,-660.634,-23021.1,1,20
12,211,0.00598836,-0.0100263,-12.523,-1413.65,414.475,1748.05,1,12
13,211,0.00598836,-0.0100263,-12.523,-988.584,-640.16,7090.61,1,17
14,2212,0.00598836,-0.0100263,-12.523,1099.6,709.43,1498.3,1,15
15,-211,0.00598836,-0.0100263,-12.523,1065.36,-864.152,-898.886,-1,14
16,211,0.00598836,-0.0100263,-12.523,681.941,1042.84,-1047.13,1,17
17,-211,-0.0384847,-0.00459646,55.0892,484.966,-1563.84,-16830.3,-1,15
18,-211,-0.0384847,-0.00459646,55.0892,421.1,-1204.96,-1111.26,-1,14
19,-211,-0.0384847,-0.00459646,55.0892,1021.4,-1568.06,20009.3,-1,10
21,211,-0.0384847,-0.00459646,55.0892,-163.43,-1105.74,8732.24,1,21
22,211,-0.0384847,-0.00459646,55.0892,-1171.98,143.482,5626.27,1,18
23,-211,-0.0384847,-0.00459646,55.0892,708.215,-1864.69,-9154.76,-1,16
24,2212,-0.0384847,-0.00459646,55.0892,-1126.85,1332.4,-44528.5,1,12
25,-211,-0.0384847,-0.00459646,55.0892,936.407,-758.662,-641.851,-1,13
26,211,-0.0384847,-0.00459646,55.0892,-176.852,2096.15,736.912,1,15
27,-211,-0.0384847,-0.00459646,55.0892,847.372,1941.2,42788.3,-1,14
28,211,-0.0384847,-0.00459646,55.0892,970.111,1371.81,18161.7,1,12
29,211,-0.0384847,-0.00459646,55.0892,-963.047,1129.48,20109.7,1,12
30,-2212,-0.0384847,-0.00459646,55.0892,-529.337,1134.17,12531.1,-1,21
31,2212,-0.0384847,-0.00459646,55.0892,1116.72,-767.525,16019,1,11
32,211,-0.0384847,-0.00459646,55.0892,1436.48,-445.608,7262.5,1,17
33,321,-0.0384847,-0.00459646,55.0892,-1396.31,-1460.88,8682.83,1,20
34,-211,-0.0384847,-0.00459646,55.0892,-2119.54,-874.394,8156.17,-1,9
35,211,-0.0384847,-0.00459646,55.0892,781.623,855.759,-27176.5,1,20
36,211,-0.0384847,-0.00459646,55.0892,40.0202,1001.65,-1982.27,1,15
37,211,-0.0384847,-0.00459646,55.0892,302.47,-1158.93,-3428.57,1,19
38,-211,-0.0384847,-0.00459646,55.0892,-179.559,-1124.46,-1780.03,-1,12
39,211,-0.0384847,-0.00459646,55.0892,576.655,-835.108,-10292.7,1,14
40,211,-0.0384847,-0.00459646,55.0892,1953.88,-676.874,-23364.8,1,8
41,211,-0.0384847,-0.00459646,55.0892,994.777,-231.426,25414.9,1,11
42,211,-0.0384847,-0.00459646,55.0892,-360.209,-1161.08,-1855.98,1,12
43,211,-0.0384847,-0.00459646,55.0892,-1022.26,-1045.57,-3445.68,1,16
44,-211,-0.0384847,-0.00459646,55.0892,-636.061,-802.908,18055.3,-1,11
45,211,-0.0384847,-0.00459646,55.0892,1110.05,123.742,-13418.5,1,13
46,211,-0.0384847,-0.00459646,55.0892,707.079,737.514,-5143.38,1,21
47,211,-0.0384847,-0.00459646,55.0892,1057.65,-855.262,-870.078,1,13
48,-211,-0.0384847,-0.00459646,55.0892,1585.81,692.803,-27.0099,-1,13
51,-211,-0.0384847,-0.00459646,55.0892,-616.331,1880.82,18492.9,-1,11
53,321,-0.0384847,-0.00459646,55.0892,381.782,1244.1,1849.81,1,13
54,-211,-0.0384847,-0.00459646,55.0892,803.255,752.438,-25757.4,-1,22
55,-211,-0.0384847,-0.00459646,55.0892,-860.904,-941.641,-4927.18,-1,23
57,211,-0.0384847,-0.00459646,55.0892,229.391,-1293.21,2060.83,1,18
59,-321,-0.0384847,-0.00459646,55.0892,-213.913,1052.8,1233.98,-1,15
60,-211,0.00892295,-0.00592621,103.942,873.118,-526.477,10604.9,-1,13
61,211,0.00892295,-0.00592621,103.942,-1235.5,224.828,-11148.1,1,21
62,2212,0.00892295,-0.00592621,103.942,1100,48.5845,-1642.66,1,11
63,211,0.00892295,-0.00592621,103.942,1099.93,1027.44,-10097,1,12
64,-211,0.00892295,-0.00592621,103.942,-1458.03,135.444,-20195.9,-1,12
65,-211,0.00892295,-0.00592621,103.942,893.733,517.798,22930.7,-1,13
66,211,0.00892295,-0.00592621,103.942,575.647,-910.924,15304.4,1,15
